МО;№п.п;Управляющая компания / ТСЖ / ЖСК;штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;Сумма штрафов (руб);Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;"устные 
замечания ";прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов 
(руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;устные замечания ;"Координаты объекта 
с точностью до 13 знака, lat";"Координаты объекта 
с точностью до 13 знака, Ing"
;21;"Управляющий  ЖСК ""Венера"" Флинтова В.А.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.28404547951791;48.288032021373546
;22;ООО «Истоки+»;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.321249234022936 ;48.40053157880905
;23;Директор Васильев С.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.321249234022936 ;48.40053157880905
;24;ЖСК «Волжанин»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.25530915195303 ;48.3326636441052
;25;ООО «ЦЭТ»;;;;;2;1;5000;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29365466111633;48.25692174956205
;26;Директор Тарасов Д.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29365466111633;48.25692174956205
;27;Директор Калмыков Е.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29365466111633;48.25692174956205
;28;гл.инженер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29365466111633;48.25692174956205
Ульяновск;29;ИП Кудяев Анатолий Александрович;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.348284542622885;48.56830677017571
;30;ЖСК «Ульяновец»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.2989635677191;48.3383274637163
;31;председатель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.2989635677191;48.3383274637163
;32;ООО «Альфаком-У»;5;200000;;;19;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.321594183329694;48.39870046824219
;33;ген. Дир. Шаляхин В.С.;1;4000;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.321594183329694;48.39870046824219
;34;тех. Дир-р Афанасьев С.С.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.321594183329694;48.39870046824219
;35;и.о. тех. Директор Фомин А.В.;1;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.321594183329694;48.39870046824219
;36;ген. дир. Уразаев Э.Р.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.321594183329694;48.39870046824219
;37;ООО «Альфаком-Засвияжье»;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.27123329879927 ;48.278918545693195
;38;ООО «Альфаком-Центр»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32100031993428;48.39937487617135
;39;исп. директор Николаев С.Ю.;;;;;;1;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32100031993428;48.39937487617135
;40;ООО «УК Симбирский альянс»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.314932424099645;48.36437691003085
;41;ген.директор Гришин И.Е.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.314932424099645;48.36437691003085
;42;ООО «Мегалинк»;1;40000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.377202940776485;48.582467492669835
;43;начальник ПТО Спирина Р.Ф.;1;4000;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.377202940776485;48.582467492669835
;44;"ООО ""УК Мегалинк""";;;;;;1;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37555938925429;48.58416415750983
;45;ПЖСК «Опытный»;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.25391385340694;48.303519096225536
;46;УМУП «Городской теплосервис»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32094014913617 ;48.39187709614638
;47;ТСЖ «Микрорайон Свияга-10»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.313792424959935 ;48.39195152744654
