Рег. номер маршрута  ;порядковый номер маршрута;наименование маршрута ;наименования промежуточных остановочных пунктов по маршруту регулярных перевозок или наименования поселений, в границах которых расположены промежуточные остановочные пункты ; наименования улиц, автомобильных дорог, по которым предполагается движение транспортных средств между остановочными пунктами по маршруту регулярных перевозок;протяженность маршрута регулярных перевозок, км; порядок посадки и высадки пассажиров (только в установленных остановочных пунктах или, если это не запрещено настоящим Федеральным законом, в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок) ; вид регулярных перевозок (по регулируемым тарифам или по нерегулируемым тарифам);Вид;Класс;Максимальное количество;Экологические характеристики;дата начала осуществления регулярных перевозок ;наименование юридического лица, фамилия, имя и, если имеется, отчество индивидуального предпринимателя;место нахождения ;
49;714;Вологда – Липин Бор;Вологда, отв. Молочное, Кашкалино, Новленское, Березники, Нефедово, Н.Торжок, отв. Кириллов, Ферапонтово, Устье, Новостройка, Пономарево, Чисты Дор, Павлово, Липин Бор ;г. Вологда, (ул. Зосимовская, ул. Герцена,  ул. Октябрьская, пр. Победы) АД А 119 АД  АД подъезд к с. Липин Бор с. Липин Бор (ул. Первомайская)  ;180;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;;0 - 5;;;;
50;715;Вологда – Никольск;Биряково, село им. Бабушкина, Люльково;г. Вологда (ул.Зосимовская, ул.Чехова, ул.М.Ульяновой, ул.С.Орлова, ул.Чернышевского), АД М8, АД  Чекшино Тотьма Никольск с. им. Бабушкина (ул.Бабушкина,ул.Беляева) АД   Чекшино Тотьма Никольск  г. Никольск (ул Кузнецова, ул.Конева);424,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;11;0 - 5;25.07.2016;ООО "Авто-Экспресс-4";г. Великий Новгород, ул. Студенческая, д. 31;
51;715;Никольск – Вологда;В-Рыстюг Теребаево  Калинино  Подгорье Вахнево  Чернино Аргуново Зеленцово Козлец  Подболотье Рослятино  Красота В-Двор Миньково Бабушкино  Тотьма Воробьево Кадников; г.Никольск (ул. М.Конева ул.Кузнецова) АД  Чекшино Тотьма Никольск с. им. Бабушкина (ул. Беляева ул. Бабушкина) АД  Чекшино Тотьма Никольск г. Тотьма (д.Савино ул. Ленина) АД  Чекшино Тотьма Никольск АД М8 г. Вологда (ул. Чернышевского ул. с.Орлова ул. Мира пл. Бабушкина);424,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;;;;
52;717;Вологда – Спас Ямщики;Вологда (автовокзал), р.Стеблево, п.Стеблевский, Лухта, р.Комья, Денисьево, Бушуиха, Гора, Кашино, Барское-Сырищево, Карповская, Огнёво, Дьяконово, Игумницево, Матюшкино, Святогорье, Щёлково, Старое, Змейцино, Спас-Ямщики ;г.Вологда  (ул.Зосимовская, Чехова, Герцена, Можайского, Московское ш.), АД Вологда-Ростилово, АД Криводино-Шуйское, АД Святогорье-Ноземские Исады, АД Старое- Спас Ямщики;83,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.08.2013;ООО ВПБА автобус ; г.Вологда ул.Чернышевского д.147;
53;717;Вологда – Спас Ямщики;Вологда (автовокзал), Денисьево, Бушуиха, Гора, Кашино, Барское-Сырищево, Карповское, Огнёво, Дьяконово, Игумницево, Святогорье, Щёлково, Старое, Змейцино, Спас-Ямщики ;г.Вологда  (ул.Зосимовская, Чехова, Герцена, Можайского, Московское ш.), АД Вологда-Ростилово, АД Криводино-Шуйское, АД Святогорье-Ноземские Исады, АД Старое- Спас Ямщики;83,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.08.2013;ИП Сенных Алексей Владимирович    ;г. Вологда;
54;718;Сямжа – Вологда;Фофанцево, Оларево, Кадников, о. Замошье, Большая Мурга, Воздвиженье, Алексейцево, Глебово, Чекшино, Ушкомица, Бабино, Корниловская, Филинская, Алферовская, Волковская, Гриденская;г. Вологда (ул. Мира ул. С. Орлова ул. Чернышевского), АД   М--8 ;118;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;23.11.2015;ИП Мызин Артем Александрович;Вологодская область, Верховажский район ;
55;718;Вологда – Сямжа;Фофанцево, Оларево, Кадников, о. Замошье, Большая Мурга, Воздвиженье, Алексейцево, Глебово, Чекшино, Ушкомица, Бабино, Корниловская, Филинская, Алферовская, Волковская, Гриденская;г. Вологда (ул. Мира ул. С. Орлова ул. Чернышевского), АД   М--8 ;118;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.04.2014;ИП Романова Нина Анатольевна ; Вологодская область, Вологодский район ;
56;718;Вологда – Сямжа;Фофанцево, Оларево, Кадников, о. Замошье, Большая Мурга, Воздвиженье, Алексейцево, Глебово, Чекшино, Ушкомица, Бабино, Корниловская, Филинская, Алферовская, Волковская, Гриденская;г. Вологда (ул. Мира ул. С. Орлова ул. Чернышевского), АД   М--8 ;118;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;21.08.2015;ИП Калачиков Юрий Владимирович ;г. Вологда;
57;719;Вологда – Талицы;От.Молочное, Кашкалино, Турутино, Новое, Шолохово, Телячье, Новленское, Каргачево, Подолец, Жуково, Сямы, Березники, Владышное, Первомайское, Каталовское, Малашково, Омогаево, Тетрюмово, Михалево, Колкач, Погореловка, Сущево, Сидоровское;г.Вологда (пл.Бабушкина, ул.Мира, Пошехонское ш., ул. Петина, ул.Панкратова) АД обход г.Вологды,  АД А-119, АД Первомайское-Омогаево - Ягрыш, АД Никольский Торжок -Талицы;105;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;15.07.2013;ИП Люлин Сергей Александрович;г. Вологда ;
58;720;Тарнога – Нюксеница – Вологда;с. Тарногский Городок, Нюксеница, Тотьма, Воробьево, Вологда;с. Тарногский Городок (ул. Советская ул. Красная) АД Костылево - Тарнога - АД "Тотьма - Великий Устюг" АД Тотьма Нюксеница Великий Устюг АД Чекшино Тотьма Никольск АД М 8  г. Вологда  (ул. Чернышевского ул. С. Орлова ул. Мира пл. Бабушкина);339;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;26.08.2015;ИП Громова Елена Юрьевна;Вологодская область Тарногский район ;
59;721;Тотьма – Вологда;Тотьма, Село, Екимиха, Коровинское, отв. Красный Бор, Погорелово, Якуниха, Туровец, Биряково, Чучково, Воробъево, Кадников;г. Тотьма (д.Савино ул. Ленина) АД  Чекшино Тотьма Никольск АД М8 г. Кадников ул. Розы Люксембург АД М 8 г. Вологда (ул. Чернышевского ул. с.Орлова ул. Мира пл. Бабушкина);214,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.02.2014;МУП «Тотемское ПАТП»; Вологодская обл., Тотемский р-н, д. Савино, ул. Центральная, д. 20;
60;721;Вологда – Тотьма;Кадников Б.Мурга Воздвиженье  Алексейцево  Глебово Пирогово-2 Корино Воробъево Боярское Отарово Чучково Завражье Семеново по требованию Биряково Тимонинская Борщевка УЖД Якуниха Погорелово -2  К. Бор Коровинская Екимиха Село  ;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. С.Орлова ул. Чернышевского) АД М8 г. Кадников ул. Розы Люксембург АД М8 АД Чекшино Тотьма Никольск  г. Тотьма (д. Савино ул. Ленина) ;214,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;24.08.2015;ИП Кузнецов  Сергей Александрович;г. Вологда ;
61;721;Вологда – Тотьма;Кадников Б.Мурга Воздвиженье  Алексейцево  Глебово Пирогово-2 Корино Воробъево Боярское Отарово Чучково Завражье Семеново по требованию Биряково Тимонинская Борщевка УЖД Якуниха Погорелово -2  К. Бор Коровинская Екимиха Село  ;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. С.Орлова ул. Чернышевского) АД М8 г. Кадников ул. Розы Люксембург АД М8 АД Чекшино Тотьма Никольск  г. Тотьма (д. Савино ул. Ленина) ;214,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.04.2014;ООО «Междуречье Авто» ;Вологодская область Междуреченский район с. Шуйское ул. Советская д.51;
62;722;Вологда – Биряково – Туровец;Вологда, Кадников, Б.Мурга, Воздвиженье, Алексейцево, Глебово, Пирогово, Корино,Воробьево, Боярское, Огарово, Чучково, Завражье, Семеново, отв. Биряково, Биряково, Тимониниская, Борщевка, УЖД, Туровец;Вологда (ул. Зосимовская, Чехова, М.Ульяновой, С.Орлова, Чернышевского), Кадников (ул.Р.Люксембург), АД М8, АД Чекшино-Тотьма-Никольск, Туровец;152,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;;0 - 5;;;;
63;723;Устье – Вологда;Устье В.Запань Озерки Василево Семенково Архангельское Рязанка РМЗ Сокол Развилка Литега Оларево Фофанцево Маега Вологда ; с. Устье: (ул.Яковлева ул.Советская  ул.Профсоюзная)  АД Василево Устье АД Сокол Харовск Вожега    г.Сокол: (ул.Сельская ул.Водников  ул.Советская  ул. 40 лет Октября  ул.Базарная ул.Горького ул.Железнодорожная ул. Бумажников  ул. пл.Свободы  ул. Ленинградская) АД  подъезд к г. Соколу (северный) АД М 8 г. Вологда (ул. Чернышевского  ул. С.Орлова ул. Мира  пл. Бабушкина)  ;79,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.01.2014;МУ «Усть - Кубинское АТП» ;Вологодская обл., Усть-Кубинский р-он,с.Устье ул.Яковлева д.16;
64;723;Вологда – Устье;Центр Рыбкино Дорожный Маега Фофанцево Шульгино Северово Оларево Барское Развилка Литега отв. Сокол Рабанга Лентьево Сокол РМЗ Рязанка Брязгино Архангельское Семенково В.Запань;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. Орлова ул. Чернышевского) АД М8 подьезд к г. Сокол г. Сокол (ул. Ленинградская ул. Свободы ул. Бумажников ул. Железнодорожная ул. Горького Базарная пл. ул. Советская ул. Водников ул. Сельская) АД Сокол Харовск Вожега АД Василево - Устье с. Устье (ул. Профсоюзная ул. Советская ул. Яковлева) ;79,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;15.02.2014;ООО «Междуречье Авто» ;Вологодская обл.,  Междуреченский район с. Шуйское ул. Советская д.51;
65;724;Устюжна - Вологда;Порослово Огибь  Громошиха  Лентьево  Попчиха Ванское Колоколец  Староречье  Глины    Гришкино (отв.)  Миндюкино  Чаево   Кисово (разв.)   Песье  Елехово (отв.)  Исток Хохлово  Владимировка   р. Суда  Шексна  Чебсара (разв.)  ;г.  Устюжна (пер. Коммунистический пер. Комсомольский) АД  подъезд к г. Устюжна АД А-114 г. Вологда (Окружное шоссе, ул. Ленинградская, ул Петина, Пошехонское шоссе, пл. Бабушкина) ;247,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;12.01.2005;Устюженское МУПАТП; Вологодская обл. г. Устюжна, пер. Красный, д.44;
66;726;Харовск – Сямжа – Вологда;Дачи Попчиха Михайловское Оброчное Федосиха Усть-Река Шокша Сямжа Алферовская Филинская Корниловская Бабино Ушковицы Чекшино Замошье Кадников Оларево Фофанцево ;г. Харовск (ул. Архангельская ул. Энергетиков) АД Сямжа Харовск с. Сямжа (ул Центральная) АД М 8 г.Кадников ул. Розы Люксембург АД М8 г. Вологда (ул. Чернышевского ул. С. Орлова пл. Революции ул. М.Ульяновой ул. Герцена ул. Зосимовская);176,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.01.2014;ОАО «Харовское АТП» ;Вологодская область, г. Харовск, ул. Энергетиков, 18;
67;727;Харовск – Сокол – Вологда;Пустораменье Насоново Стегаиха Сибла Мартыновская Шулепово Истоминская Бурцево Копосиха Острилово Нестерово Василево Архангельское Сокол  ;г. Харовск (ул. Архангельская ул. Пустораменская) АД Сокол Харовск Вожега  г. Сокол (ул. Сельская ул. Глушицкая ул. Биржевая ул. Советская ул. 40 лет Октября  ул. Горького ул. Фабричная ул. Ленинградская Куземкино ул. Лентьевская) АД подъезд к г. Сокол АД М8 г. Вологда (ул. Чернышевского ул. С.Орлова ул. Мира пл. Бабушкина);118;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.01.2014;ОАО «Харовское АТП» ;Вологодская область, г. Харовск, ул. Энергетиков, 18;
68;728;Вологда – Чагода;р.Чебсорная Шексна о.Аэропорт р.Череповец о.Мелечкино Федорово Кошта Нелазское о.Судская Владимирово Хохлово Исток Елехово Песье Боченино Кисово Супруново Чаево Гришкино Глины Староречье Ванское Попчиха Лентьево Орел Горка Мочало Логиново Мезга Долоцкое Савино Н.Деревня Черенское Покровское Залужье Кобожа Мордас Колобово Березье п.Сазоново Сазоново;г. Вологда (пл.Бабушкина Пошехонское шоссе ул.Петина ул.Ленинградская Окружное шоссе) АД А 114  г.Череповец (Кирилловское шоссе ул.Комсрмольская ул.Вологодская ул.Горького)  АД А 114  АД подъезд к п. Чагода п.Чагода (Железнодорожный пер.  ул.Кооперативная)           ;332,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.01.2014;ООО «ВПБА Автобус» ; г.Вологда ул.Чернышевского д.147;
69;729;Вологда – Чарозеро;о. Молочное  Кашкалино  Новое  Шолохово  Владычное  Телячье   Новленское  Березники  Нефедово  Н. Торжок  о. Ферапонтово  Новостройка  Коварзино  Заельники Булыкино  Коротец  Олютинская  Воскресенская  Комлино  Ракула  Козлово  Тимофеево;г. Вологда (пл. Бабушкина, Пошехонское шоссе, ул. Петина, ул. Панкратова, окружное Шоссе (кольцо), Ленинградское шоссе), АД М-8, АД А--119 АД Новостройка Русино;178;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.02.2014;ИП Романова Нина Анатольевна ; Вологодская область, Вологодский район, ;
70;730;Вологда – Череповец;Лапач, отв. Стризнево, отв. Кипелово, Светилово, Нестерово, Чернеево, Братково, разв. Чебсара, Слизово, Шексна, Соболево;г. Вологда (пл. Бабушкина  ул. Мира  путепровод  Пошехонское ш  ул. Петина  ул. Ленинградская  Окружное ш.) АД А 114   п. Шексна                     г. Череповец (Кирилловское ш.  ул. Комсомольская  ул. Волгоградская  ул. М. Горького) ;136;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.09.2014;ИП Люлин Сергей Александрович;г. Вологда  ;
71;730;Череповец – Вологда;Аэропорт, Соболево, Шексна, Слизово, разв. Чебсара, Братково, Орловка, Чернеево, Нестерово, Светилово, Кипелово, отв. Стризнево, Лапач;г. Череповец (ул.М.Горького ул.Комсомольская ул.Добролюбова ул.Школьная  Кирилловское шоссе) АД  А-114 г. Вологда (Окружное шоссе  ул.Ленинградская ул.Петина  Пошехонское шоссе пл.Бабушкина);136;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;7;0 - 5;01.02.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
72;730;Вологда – Череповец;Лапач, отв. Стризнево, отв. Кипелово, Светилово, Нестерово, Чернеево, Братково, разв. Чебсара, Слизово, Шексна, Нифантово,  Соболево, отв. Аэропорт ;г. Вологда (пл. Бабушкина Пошехонское шоссе ул. Петина ул. Ленинградская Окружное шоссе) АД А114 г.Череповец (Кирилловское шоссе ул. Школьная ул. Комсомольская ул. Горького);136;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;5;0 - 5;15.02.2014;ООО «Междуречье Авто» ;Вологодская обл., Междуреченский район с. Шуйское ул. Советская д.51;
73;730;Вологда – Череповец;отв. Стризнево, отв Кипелово, Светилово, Нестерово, Чернеево, Братково, разв. Чебсара, Шексна, Соболево, Череповец;г. Вологда (пл. Бабушкина  ул. Мира  путепровод  Пошехонское ш  ул. Петина  ул. Ленинградская  Окружное ш.) АД А 114   п. Шексна                     г. Череповец (Кирилловское ш.  ул. Комсомольская  ул. Волгоградская  ул. М. Горького) ;136;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;6;0 - 5;01.04.2014;ИП Алферьева Любовь Валентиновна ; г. Вологда;
74;731;Вологда – Чушевицы;Вологда, Кадников, отв. Ушкомица, Бабино, Филинская, отв. Алферовская, Сямжа, Ратино, Ширега, В.Двор, Жихово, отв. Шелота, Шелота, Плесо, Липки, Никулинская, Мочалово, Подсосенье, Чушевицы;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. Орлова ул. Чернышевского) АД М8  г. Кадников ул. Розы Люксембург АД М 8 АД М 8 Чушевицы Каменка;197,3;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;25.06.2015;ИП Кулигин Вениамин Анатольевич ;Вологодская область, Верховажский район ;
75;733;Шуйское – Вологда;Космово Раздольное Пионерский Марковское Святогорье Матюшкино Игумницево Дьяконово Огнево Карповское Барское Сырище Кашино Гора Бушуиха Денисьево р. Комья Лухта п. Стеблевский р.Стеблево;с. Шуйское (пл. Слободы ул. Советская) АД Криводино-Шуйское АД Вологда-Ростилово г. Вологда (Московское шоссе ул. Можайского ул. Герцена ул. Яшина ул. Чехова ул. Зосимовская) ;96,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.02.2014;ИП Кузнецов Сергей Александрович;Вологодская область, Вологодский район ;
76;735;Великий Устюг – Кичменгский Городок ;В.Устюг, Щекино, Пеганово, Рыжково, Чернышево, Михнинская, Горбачево, Подволочье, Починок, Лаптюг, Подгорка, Лобаново, К.Городок;В.Устюг (ул. Транспортная), АД Урень-Шарья-Никольск-Котлас, К.Городок (ул. Советская);105,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;15.05.2014;ЗАО «Великоустюгское ПАТП» ;г. Великий Устюг, ул. Транспортная, 4;
77;735;Кичменгский Городок – Великий Устюг;К.Городок, Лобаново, Подгорка, Лаптюг, Починок, Подволочье, Горбачево, Михнинская, Чернышево, Рыжково, Пеганово, Щекино, В.Устюг;с. Кич. Городок ул. Советская  АД Урень Шарья Никольск Котлас г. Великий Устюг ул. Транспортная;101;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;20.08.2013;ООО «Кич-Городокавтотранс» ;с. Кичменгский Городок, ул. Советская, 35А;
78;736;Никольск – Великий Устюг ;Петряево Байдарово Кудрино Пелягинец  Демино отв.Курилово  Звезда Голузино  Березовая Гора  К-Городок Лобаново  Подгорка Лаптюг  пос.Починок  ст.Починок Подволочье  Горбачево Михнинская  Чернышово Рыжково  Пеганово Щекино ;г.Никольск ул.М.Конева, АД подъезд к г. Никольск АД Урень Шарья Никольск Котлас   с.Кич-Городок ул.Советская  АД Урень Шарья Никольск Котлас  г.В.Устюг ул.Транспортная ;167,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ООО «Никольское АТП» ;Вологодская область, г. Никольск, ул. Маршала Конева, 145;
79;736;Великий Устюг – Никольск;Щекино  Пеганово  Рыжково  Чернышево  Михнинская  Горбачево  Подволочье  ст. Починок  почт. Починок  Лаптюг  Подгорка  Лобаново  Кич Городок  Б. Гора  Голузино  Звезда  отв. Курилово  Демино  Пелягинец  Кудрино Байдарово  Петряево ;г.В.Устюг  ул.Транспортная АД  Урень Шарья Никольск Котлас  с. Кич Городок ул. Советская АД  Урень Шарья Никольск Котлас АД подъезд к г. Никольск г. Никольск ул. М. Конева;167,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.01.2014;ЗАО «Великоустюгское ПАТП» ; г. Великий Устюг, ул. Транспортная, д. 4;
80;738;Череповец – Белозерск ;Раменье  Толстиково  Ракольское  Шабанова Гора  Дермянинское  Фролово  Тюшково  Ильина Гора  Аннино  Дачи  Пахотино  Великая  Якутино  Паньково  Бечевинка  отворотка Кема  Новишки  Перховта  Левково  Антушево  Росстани  Дачи-1 ;г. Череповец (ул.М.Горького ул.Комсомольская ул.Добролюбова ул.Школьная  Кирилловское шоссе) АД А-114 АД Череповец  Белозерск  Липин Бор г. Белозерск (ул. Красноармейская, ул.Карла Маркса) ;114,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;3;0 - 5;01.02.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
81;738;Белозерск – Череповец;Дачи Ростани Ашушево Левково Перховта  Новишки от.Кема от.Бечевинка Паньково Якутино Великая Пахотино Дачи Аннино И.Гора ота.Поповка Тюшково Фролово Дермянинское Ш.Гора Ракольское Толстиково Раменье;г. Белозерск (ул.Карла Маркса ул. Красноармейская) АД Череповец  Белозерск  Липин Бор  АД А-114 г. Череповец (Кирилловское шоссе ул.Школьная ул.Добролюбова ул.Комсомольская ул.М.Горького);114,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.02.2014;ООО «ЗемСтрой»;г. Череповец, ул. Остинская, 15-50;
82;739;Череповец – Борисово;Нелазское  Развязка Суда  Чаево  отворотка Гришкино  Попчиха  Лентьево  Мережа  Котово  Селиверстово  Дубровка  Папино  Заборье  Щепье  Клавдино  Бабаево  Тимохино  Нестерово  М.Борисово;г. Череповец (ул.М.Горького, ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе) АД  А-114 Вологда – Новая Ладога АД Лентьево – Бабаево – Борисово-Судское  г. Бабаево (Моховая ул.  ул.Ухтомского  Привокзальная пл.  ул.Ухтомского  ул.Юных Пионеров  Советская ул.  ул.Красного Октября  ул.Свердлова) автодорога Лентьево – Бабаево – Борисово-Судское  п. Борисово-Судское (ул.Мира);245,1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;2;0 - 5;01.02.2014;МУП «Автоколонна № 1456»  ;г.Череповец, ул.Боршодская, 12;
83;740;Череповец – Великий Устюг;Шексна  Развязка Чебсарская  Нестерово  Вологда  Кадников  Воробьево Чучково Биряково  Погорелово  Тотьма Медведево  Камчуга  Михайловка  Коченьга  Пески  Сергиевская  Бер.Слободка  Нюксеница  Звегливец  Городишна  Дунай  Сельменьга  Матвеевская  Угол  Бобровское  Леваш  Вострое  Чернино  Стрелка  Полдарса  Анисимово  Красавино  Горка ;г. Череповец (ул.М.Горького ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе) АД  А-114 г. Вологда (Окружное шоссе  ул.Ленинградская  ул.Петина  Пошехонское шоссе  пл.Бабушкина  ул.Мира  ул.Чернышевского  АД  М-8 г.Кадников ул. Розы Люксембург  АД М-8 АД Чекшино – Тотьма – Никольск  г.Тотьма АД Тотьма – Нюксеница – Великий Устюг АД  Урень — Шарья — Никольск — Котлас  г. Великий Устюг Транспортная ул.;611,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;2;0 - 5;01.01.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
84;741;Череповец – Кириллов – Вытегра ;Кириллов  отворотка Ферапонтово  Новостройка  Гридинская  Пономарево  Павлово  Липин Бор  Андреевская  Остров  Зуево  Ч.Слобода  Мирный  Якшино  отворотка Анненский Мост  Александровское  отворотка Павшозеро  Белый Ручей  Девятины  Белоусово ;г. Череповец (ул.М.Горького ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе)  АД  А-114 АД Череповец – Белозерск – Липин Бор  АД  Воскресенское – Иванов Бор АД  Иванов Бор – Кириллов г. Кириллов (ул.Строителей  ул.Белозерская  ул. Гагарина Базарная ул.  ул.Гагарина  ул.Преображенского) АД  подъезд к г.Кириллов АД  А-119 АД подъезд к пос.Мирный АД  А-119  г. Вытегра (Архангельский тракт ул.Ленина  Ленинградский тракт ул.Розы Люксембург);348,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;2;0 - 5;01.02.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
85;741;Вытегра – Кириллов – Череповец; Белоусово  Девятины Белый ручей о. Павшозеро о. Александровское о. Аненский Мост о. Якшино  Рюмин о. Мирный Черная Слобода  Зуево Остров  Андреевское  Липин Бор Павлово Пономарево Гридинская Новостройка  Ферапонтово  Кириллов о. Иванов Бор   ;г. Вытегра (ул. Луначарского пр. Ленина Архангельсий тракт АД А 119 АД подъезд к п. Мирный АД А 119  АД подъезд к г. Кириллов г. Кириллов АД Иванов Бор Кириллов АД Воскресенское Иванов Бор АД Череповец белозерск Липин Бор АД А 114 г. Череповец (Кирилловское шоссе ул. Школьная ул. Добролюбова ул. Комсомольская ул. М. Горького) ;347;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.08.2011;ООО «Вытегорское ПАТП» ;Вологодская область, г. Вытегра, Ленинградский тракт 30;
86;743;Череповец – Камешник;Череповец, Лохта, Царево, Дор, Митенское, Соболево, Демидово, Дачи, отв. Иванково, Иванково, Сямичи, Толстово, Хутор, Логиново, Льгово, Ершово, Поддубье, Горка-1, Мушня, Ирма, Горка-2, Аристово, Камешница, Камешник;г. Череповец (ул.М.Горького ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе)  АД  А-114 АД А 114 Ирма Камешник ;88;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Матюнин Владимир Вадимович;Вологодская область, Череповецкий район;
87;744;Кириллов – Череповец ;Курикаево Поповская Шиндалово Крапивино Мишино Галинское Мартыново Надпорожье Иванцево Литвиново Брод Гришкино Захарово Ивановское Чукша Воскресенское Некрасово Раменье ;г. Кириллов (ул. Базарная ул. Гагарина ул. Белозерская ул. Строителей)  АД Иванов Бор Кириллов АД Воскресенское Иванов Бор АД Череповец Белозерск Липин Бор АД А 114 г. Череповец (Кирилловское шоссе ул. Школьная ул. Добролюбова ул. Комсомольская ул. М. Горького) ;102,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;14.09.2015;ИП Исаков Андрей Сергеевич;г. Вологда;
88;744;Череповец – Кириллов;Раменье, Некрасово, Петрино, Воскресенское, Чукша, Ивановское, Захарово, Гришкино, Брод, Литвиново, Иванцево, Надпорожье, Мартыново, Галинское, Мишино, Крапивино, Шиндалово, Поповская, Курикаево;г. Череповец (ул.М.Горького ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе) АД  А-114 АД  Череповец – Белозерск – Липин Бор АД  Воскресенское – Иванов Бор АД Иванов Бор – Кириллов г. Кириллов (ул.Строителей  ул.Белозерская  ул. Гагарина) ;102,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;3;0 - 5;01.02.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
