Рег. номер маршрута  ;порядковый номер маршрута;наименование маршрута ;наименования промежуточных остановочных пунктов по маршруту регулярных перевозок или наименования поселений, в границах которых расположены промежуточные остановочные пункты ; наименования улиц, автомобильных дорог, по которым предполагается движение транспортных средств между остановочными пунктами по маршруту регулярных перевозок;протяженность маршрута регулярных перевозок, км; порядок посадки и высадки пассажиров (только в установленных остановочных пунктах или, если это не запрещено настоящим Федеральным законом, в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок) ; вид регулярных перевозок (по регулируемым тарифам или по нерегулируемым тарифам);Вид;Класс;Максимальное количество;Экологические характеристики;дата начала осуществления регулярных перевозок ;наименование юридического лица, фамилия, имя и, если имеется, отчество индивидуального предпринимателя;место нахождения ;
105;762;Вологда – Устюжна;отв. Стризнево, р.Чебсарская, п.Шексна, о.Аэропорт, о.Череповец, г. Череповец, отв. Малечкино, Федорово, Кошта, Шухободь, Жидково, Нелазское, отв. Судская, Владимировка, Хохлово, Исток. Елехово, Песье, Боченино, Кисово, Супруново, Чаево, Гришкино, Глины, Староречье, Колоколец, Ванское, Попчиха, Лентьево, Громошиха, Огибь, Порослово;г.Вологда (пл.Бабушкина ул.Мира  Пошехонское ш. ул. Петина ул.Панкратова) АД  А-114  г.Череповец (Кирилловское ш. ул.Комсомольская ул.Вологодская ул.М.Горького) АД А-114 АД подъезд к г.Устюжна  г.Устюжна (Комунистический пер.) ;247,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Люлин Сергей Александрович;г. Вологда;
106;768;Белозерск – Никановская – Череповец;Ростани Кашкино Сидорово Кузнечиха Гулино Семейно Федоровская 1 Никановская 2 Никановская Чекалевка Кресты Карпово Дубравушка Рощино Орлово Дачи Взвоз Полынино Кема от.Кема Бечевинка Паньково Якутино Великая Пахатино 3 Дачи Аннино И.Гора от.Поповка Тюшково Фролово Дермянинское Ш.Гора Ракольское Толстиково;г. Белозерск ул. Комсомольская АД Череповец Белозерск Липин Бор АД Бетонка Росстани Федоровская АД  Никановская Орлово АД  Бетонка Георгиевское  АД Череповец Белозерск Липин Бор АД А 114 г. Череповец (ул. Маяковского ул. Комсомольская ул. Вологодская Привокзальная площадь ул. М.Горького);133,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ООО «ЗемСтрой»;г. Череповец, ул. Остинская, 15-50;
107;769;Вологда - Вожега;п.Литега  г. Сокол  с. Архангелтское   д. Василево   д. Нестерово д. Копосиха  д. Бурцево д. Истоминское  д. Сибла  д. Насоново г. Харовск  д. Тюшковская отв. д. Чернухино отв д. Шапша отв. ст Пундога  ст. Пундога  отв д. Крюково                                                                      п.Кадниковски ст. Вожега;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М.Ульяновой, Центр, ул. С. Орлова, ул. Чернышевского) АД М-8  г. Сокол (ул. Ленинградская, пл. Свободы, ул. Бумажников, ул. Железнодорожная, ул Горького,  Базарная пл, ул. 40 лет Октября, ул. Советская,  ул. Водников,  ул. Сельская) АД Сокол Харовск Вожега отв на г. Харовск г. Харовск АД Сокол Харовск Вожега  отв Кадниковский  п. Кадниковский  АД Сокол Харовск Вожега п. Вожега  ул. Октябрьская;186,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.08.2014;ИП Алферьева Любовь Валентиновна        ;г. Вологда;
108;770;Вожега - Вологда;отв Кадниковский отв Крюково отв. Пундуга  отв. д.Шапша  отв. д.Сорожино отв.д. Чернухино  отв г. Харовск  г.Сокол, г. Вологда;п. Вожега АД Сокол Харовск Вожега г. Сокол АД подъезд к г. Сокол АД М 8 г. Вологда (ул.Чернышевского, ул.Мира, автовокзал);186.6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;08.09.2014;ИП Веселкова Татьяна Анатольевна          ;Вологодская обл. Вожегодский район;
109;771;Вологда - Семигородняя;Вологда, Сокол, Архангельское, Васильево, Нестерово, Острилово, Копосиха, Бурцево, Истоминская, отв. Семигородняя, Семигородняя;Вологда (ул. Зосимовская, Чехова, М. Ульяновой,  пл. Революции, Лермонтова, Чернышевского), АД М8, Сокол-Харовск-Вожега;109,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.08.2014;ИП Горюнова Наталья Юрьевна  ;г. Вологда;
110;772;Череповец - Шеломово;Череповец, Тоншалово, Ботово, Аэропорт, Лохта, Царево, Дор, Митенское, Соболево, Демидово, отв. Пача, Пача, Шеломово;Череповец (ул. М.Горького, Комсомольская, Школьная, Кирилловское шоссе, выезд из г. Череповца), А114 Вологда-Новая Ладога, АД Демидово-Пача, АД Пача-Соколово-Шеломово;55,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;10.10.2014;МУП «Автоколонна № 1456»  ;г.Череповец, ул.Боршодская, 12;
111;773;Вологда - Морженга;Вологда, Сокол, Архангельское, Василево, отв. Нестерово, Деревенька, Дмитриково, В.Двор, Середнее, Заболотье, Морженга;Вологда (Движенческий переулок, Зосимовская, Герцена, М. Ульяновой, С.Орлова, Чернышевского, Железнодорожная) АД М8, Сокол (ул. Советская, ул. Водников (РМЗ)), АД Сокол-Харовск-Вожега, АД Нестерово-Морженга, Морженга;90,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;23.01.2015;ИП Сенных Алексей Владимирович ;г. Вологда;
112;774;Молодежный - Вологда;Молодежный  Вожега Кадниковский о. д. Крюково от. ст. Пундога отв. д. Шапша отв. д. Сорожино отв. д. Чернухино отв. г. Харовск г. Сокол;АД Явеньга Вожега п. Вожега (ул. Советская. Транспортная привокзальная площадь ул Октябрьская)  АД Сокол Харовск Вожега г.Сокол (ул. Сельская Водников Советская  Калинина)  АД подъезд к г. Сокол АД М 8 г. Вологда (ул. Чернышевского Орлова Мира Зосимовская);205;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;15.12.2014;ИП Литвиненко Юрий Михайлович ; Вологодская область, Вожегодский район ;
113;775;Вологда - ст. Лежа ;Вологда, Огарково, отв. Грибково, Чернецкое, Слобода, Заря, Грязовец, Останино, Рылово, Б.Дворищи, Рамешки, Меленка, Суворово, Жернаково, Рамово, отв. Лежа, Сеньга, Спасское, ст. Лежа ;Вологда (ул. Зосимовская, Чехова, Яшина, Герцена, Можайского), АД М8;109,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;02.01.2015;ИП Горюнова Наталья Юрьевна     ;г. Вологда;
114;776;Вожега - Вологда (через Харовск) ;Вожега, Кадниковский, Крюково, Пундуга,  Шапша, Чернухино, Харовск, Насоново, Истоминское, Сибла, Бурцево, Копосиха, Нестерово, Василево, Архангельское, Сокол, Литега, Вологда;Вожега (ул. Октябрьская), АД Сокол-Харовск-Вожега, Сокол (40 лет Октября, Советская, Водников, РМЗ, Сельская, Лениградская, пл. Свободы, Бумажников, Железнодорожная, Горького, Базарная пл.), АД М8, Вологда (Чернышевского, С.Орлова, М.Ульяновой, Герцена, Зосимовская);186,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;;0 - 5;;;;
