Код;Адрес МКД;Документ,подтверждающий признание МКД аварийным, номер;Документ,подтверждающий признание МКД аварийным, дата;Планируемая дата окончания переселения;Планируемая дата сноса/реконструкции  МКД;Число жителей всего, чел;Число жителей планируемых к переселению, чел;Общая площадь жилых помещений МКД, кв м;Количество расселяемых жилых помещений, ед;Расселяемая площадь жилых помещений, кв м
60;г Нижний Тагил ул Красногвардейская д.49;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;21;21;380.9000;8;380.9000
61;г Нижний Тагил ул Красногвардейская д.51;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;40;40;478.5000;15;452.9000
62;г Нижний Тагил ул Красногвардейская д.53;Заключение межведомственной комииссии;2010-04-20;4.2015;2.2016;18;18;377.2000;9;377.2000
63;г Нижний Тагил ул Салтыкова-Щедрина д.1 (3);Заключение межведомственной комиссии;2009-08-17;4.2015;2.2016;3;3;97.1000;1;48.3000
64;г Нижний Тагил ул Тимирязева д.67;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;31;31;411.8000;10;396.4000
65;рп Дружинино ул Азина д.48 А;Акт межведомственной комиссии № 10;2009-12-29;4.2015;2.2016;3;3;61.8000;2;61.8000
66;рп Дружинино ул Октябрьская д.2 А;Акт межведомственной комиссии № 18;2009-11-05;4.2015;2.2016;10;10;115.5000;4;115.5000
67;рп Дружинино ул Энгельса д.10;акт межведомственной комиссии №10;2009-11-05;4.2015;2.2016;16;16;194.1000;6;194.1000
68;рп Дружинино ул Энгельса д.11;акт межведомственной комиссии № 12;2009-11-05;4.2015;2.2016;15;15;207.9000;5;207.9000
69;рп Дружинино ул Энгельса д.12;Акт межведомственной комиссии № 13;2009-11-05;4.2015;2.2016;14;14;181.4000;6;181.4000
70;рп Дружинино ул Энгельса д.13;Акт межведомственной комиссии № 14;2009-11-05;4.2015;2.2016;13;13;159.4000;4;159.4000
71;рп Дружинино ул Энгельса д.16;Акт межведомственной комиссии № 16;2009-11-05;4.2015;2.2016;11;11;181.5000;6;181.5000
72;рп Дружинино ул Энгельса д.17;Акт межведомственной комиссии № 17;2009-11-05;4.2015;2.2016;13;13;122.7000;6;122.7000
73;рп Дружинино ул Энгельса д.2;акт межведомственной комиссии № 4;2009-11-05;4.2015;2.2016;15;15;174.1000;8;174.1000
74;рп Дружинино ул Энгельса д.2 А;акт межведомственной комиссии;2009-11-05;4.2015;2.2016;10;10;207.9000;4;207.9000
75;рп Дружинино ул Энгельса д.22;Акт межведомственной комиссии № 22;2009-11-05;4.2015;2.2016;6;6;144.1000;4;144.1000
76;рп Дружинино ул Энгельса д.27;Акт межведомственной комиссии № 2;2009-11-05;4.2015;2.2016;20;20;345.9000;9;345.9000
77;рп Дружинино ул Энгельса д.28;Акт межведомственной комиссии № 19;2009-12-29;4.2015;2.2016;13;13;161.7000;6;161.7000
78;рп Дружинино ул Энгельса д.3;акт межведомственной комиссии №6;2009-11-05;4.2015;2.2016;17;17;225.1000;8;225.1000
79;рп Дружинино ул Энгельса д.4;акт межведомственной комиссии №1;2009-11-05;4.2015;2.2016;23;23;218.0000;7;218.0000
80;рп Дружинино ул Энгельса д.4 А;акт межведомственной комиссии №14;2011-12-28;4.2015;2.2016;8;8;113.5000;4;113.5000
81;рп Дружинино ул Энгельса д.6;акт межведомственной комиссии №7;2009-11-05;4.2015;2.2016;9;9;102.0000;4;102.0000
82;рп Дружинино ул Энгельса д.7;акт межведомственной комиссии № 8;2009-11-05;4.2015;2.2016;18;18;234.7000;8;234.7000
83;рп Дружинино ул Энгельса д.8;акт межведомственной комиссии №9;2009-11-05;4.2015;2.2016;14;14;118.7000;4;118.7000
84;рп Дружинино ул Энгельса д.9;акт межведомственной комиссии №11;2009-11-05;4.2015;2.2016;16;16;280.6000;9;280.6000
85;г Камышлов пер Кирпичников д.2;Акт и заключение межведомственной комиссии № 46;2008-09-17;4.2015;2.2016;6;6;83.2000;3;83.2000
86;г Камышлов пер Кирпичников д.3;Акт и заключение межведомственной комиссии № 37;2011-10-02;4.2015;2.2016;10;10;86.8000;3;86.8000
87;г Камышлов пер Кирпичников д.4;Акт и заключение межведомственной комиссии № 47;2008-09-17;4.2015;2.2016;10;10;83.3000;3;83.3000
88;г Камышлов пер Кирпичников д.5;Акт и заключение межведомственной комиссии № 48;2008-09-17;4.2015;2.2016;6;6;83.9000;4;83.9000
89;г Камышлов пер Кирпичников д.6;Акт и заключение межведомственной комиссии № 49;2008-09-17;4.2015;2.2016;6;6;83.5000;4;83.5000
90;г Камышлов пер Кирпичников д.8;Акт и заключение межведомственной комиссии № 50;2008-09-17;4.2015;2.2016;7;7;121.4000;4;121.4000
91;г Камышлов пер Строителей д.3;Акт и заключение межведомственной комиссии № 43;2008-09-17;4.2015;2.2016;9;9;83.3000;3;83.3000
92;г Камышлов пер Строителей д.6;Акт и заключение межведомственной комиссии № 44;2008-09-17;4.2015;2.2016;7;7;93.1000;4;93.1000
93;г Камышлов пер Строителей д.8;Акт и заключение межведомственной комиссии № 45;2008-09-17;4.2015;2.2016;7;7;81.1000;4;81.1000
94;г Камышлов ул Гагарина д.36 литера Б;Акт и заключение межведомственной комиссии № 35;2011-10-02;4.2015;2.2016;10;10;92.4000;3;92.4000
95;г Камышлов ул Жукова д.39;Акт и заключение межведомственной комиссии № 56;2008-09-17;4.2015;2.2016;6;6;52.9000;2;52.9000
96;г Камышлов ул Заводская д.37;Акт и заключение межведомственной комиссии № 45;2011-10-02;4.2015;2.2016;12;12;81.6000;3;81.6000
